,PC,Address,Recency,Frequency
397,0xb7faca6e,0xb7fc4a58,inf,0
398,0xb7facaaf,0xb7fc4a78,inf,0
399,0xb7facacf,0xb7fc4a54,inf,0
400,0xb7facae3,0xbf88aec8,11.0,46
401,0xb7fb2a77,0xffffe5b4,inf,0
402,0xb7fb2a7a,0xffffe0b4,inf,0
403,0xb7fb2a7f,0xb7fc4b44,inf,0
404,0xb7fb2a85,0xb7fc4b30,inf,0
405,0xb7fb2a8e,0xb7fc4b40,inf,0
406,0xb7fb2a63,0xbf88aeb8,31.0,35
407,0xb7fb2a66,0xbf88aebc,26.0,43
408,0xb7fb2a69,0xbf88aec0,24.0,35
409,0xb7fb2a6e,0xbf88aec4,22.0,44
410,0xb7facaee,0xb7fc4b4c,1.0,2
411,0xb7facaf5,0xb7fc4b90,inf,0
412,0xb7facb07,0xb7fc4b20,inf,0
413,0xb7facb11,0xb7fc4b1c,inf,0
414,0xb7facb13,0xb7fc4a18,2096.0,5
415,0xb7facb1a,0xb7fc49f4,2097.0,6
416,0xb7facb1d,0xffffe5ac,2095.0,5
417,0xb7facb20,0xffffe5bc,2097.0,6
418,0xb7facb23,0xbf88aecc,2.0,1030
419,0xb7facb2b,0xbf88af80,39.0,2
420,0xb7faa7a8,0xb7fc4004,697.0,25
421,0xb7fbd710,0xbf88aeb4,22.0,886
422,0xb7faa798,0xb7fc4000,697.0,26
423,0xb7fbd5d0,0xbf88aeb0,19.0,39
424,0xb7fbd5d6,0xbf88aea4,17.0,36
425,0xb7fbd5dc,0xbf88ae88,1.0,36
426,0xb7fbd5e7,0xbf88aea8,8.0,38
427,0xb7fbd5ea,0xbf88aeac,8.0,38
428,0xb7fbd5f0,0xb7fc46a8,3.0,57
429,0xb7fbd602,0xb7fc46a4,1.0,106
430,0xb7fbd62c,0xb7fc46ac,697.0,25
431,0xb7facb4d,0xb7fc49dc,2014.0,14
432,0xb7facb50,0xbf88aed4,5.0,27
433,0xb7facb54,0xbf88aed0,7.0,130
434,0xb7fbebc7,0xffffe168,2.0,6
435,0xb7fbebc7,0xb7fc4c20,2.0,14
436,0xb7fbebd7,0xffffe174,inf,0
437,0xb7fbebd7,0xb7fc4c2c,inf,0
438,0xb7facb60,0xb7fc4c0c,1994.0,13
439,0xb7facb68,0xb7fc49cc,1587.0,26
440,0xb7facb79,0xbf88af58,1547.0,27
441,0xb7facb7f,0xb7fc49d0,3.0,3
442,0xb7facba3,0xb7fc432c,1955.0,19
443,0xb7facbac,0xb7fc3e6c,19960.0,1
444,0xb7facbb2,0xbf88af68,1577.0,3
445,0xb7facbb8,0xb7fc3e74,236.0,2
446,0xb7facbeb,0xb7fc4b18,236.0,1
447,0xb7facbf2,0xb7fc4b10,236.0,1
448,0xb7facbfe,0xbf88afc4,11.0,3
449,0xb7facc10,0xbf88afe4,3.0,8
450,0xb7facc16,0xbf88afc0,4.0,7
451,0xb7facc20,0xbf88aef0,27.0,23
452,0xb7facc4e,0xffffe034,237.0,1
453,0xb7facc4e,0xffffe054,237.0,1
454,0xb7facc4e,0xffffe074,237.0,1
455,0xb7facc59,0xffffe088,237.0,1
456,0xb7facc5c,0xffffe07c,237.0,1
457,0xb7facc5f,0xb7fc49c0,237.0,3
458,0xb7facc61,0xbf88afcc,148118.0,1
459,0xb7facc6c,0xbf88afbc,148101.0,1
460,0xb7facc72,0xbf88aeec,1.0,24
461,0xb7faccca,0xffffe460,238.0,1
462,0xb7faccd4,0xffffe474,inf,0
463,0xb7facce6,0xb7fc3ce8,1.0,7
464,0xb7facd05,0xb7fc3ee0,inf,0
465,0xb7fb1155,0xbf88aeb8,1460.0,32
466,0xb7fb1156,0xbf88aeb4,1.0,884
467,0xb7fb1164,0xbf88aeb0,1452.0,37
468,0xb7fb1167,0xb7fc3cf0,inf,0
469,0xb7fb1173,0xb7fc3cec,2178.0,3
470,0xb7fb1179,0xbf88ae90,1136.0,42
471,0xb7fb1182,0xbf88ae8c,1142.0,23
472,0xb7fbc3d0,0xbf88ae88,1140.0,33
473,0xb7fbc3d3,0xbf88ae84,1138.0,64
474,0xb7fbc3d4,0xbf88ae80,1136.0,239
475,0xb7fbc3d5,0xbf88ae7c,1134.0,60
476,0xb7fbc3d6,0xbf88ae78,1.0,78
477,0xb7fbc3e7,0xbf88ae20,9.0,181
478,0xb7fbc3ea,0xbf88ae1c,533.0,153
479,0xb7fbc3ed,0xbf88ae18,559.0,127
480,0xb7fbc3f0,0xb7fc3d28,inf,0
481,0xb7fbc3f6,0xb7fc3d20,2855.0,3
482,0xb7fbc3fc,0xbf88ae3c,7.0,137
483,0xb7fbc3ff,0xb7fc3d2c,inf,0
484,0xb7fbc405,0xb7fc3d24,2854.0,3
485,0xb7fbc40b,0xbf88ae40,3.0,143
486,0xb7fbc417,0xbf88ae44,5.0,124
487,0xb7fbc46e,0xb7fc3e74,12025.0,1
488,0xb7fbc476,0xbf88ae24,26.0,65
489,0xb7fbc47f,0xb7fc4b18,inf,0
490,0xb7fbc486,0xb7fc4b10,inf,0
491,0xb7fbc492,0xbf88ae54,12.0,16
492,0xb7fbc4a1,0xbf88ae68,4.0,46
493,0xb7fbc4a4,0xbf88ae50,1026.0,10
494,0xb7fbc4ab,0xbf88ae58,4.0,54
495,0xb7fbc4b2,0xbf88adf8,1366.0,342
496,0xb7fbc4d7,0xffffe034,inf,0
497,0xb7fbc4d7,0xffffe054,inf,0
498,0xb7fbc4d7,0xffffe074,inf,0
499,0xb7fbc4df,0xffffe088,inf,0
500,0xb7fbc4e2,0xffffe07c,inf,0
501,0xb7fbc4e5,0xb7fc49c0,13724.0,2
502,0xb7fbc4e7,0xbf88ae28,10.0,161
503,0xb7fbc4ef,0xbf88adec,7.0,145
504,0xb7fbc4f5,0xbf88adf0,1.0,78
505,0xb7fbc539,0xffffe468,inf,0
506,0xb7fbc506,0xffffe460,inf,0
507,0xb7fbc508,0xffffe464,inf,0
508,0xb7fbc4d7,0xffffe094,inf,0
509,0xb7fbc58a,0xbf88ade0,3.0,225
510,0xb7fbc592,0xbf88addc,3.0,205
511,0xb7fbc595,0xbf88add8,7.0,203
512,0xb7fbe10b,0xbf88add4,1.0,3335
513,0xb7fbe11a,0xb7fc46c8,1288.0,11
514,0xb7fbc5a4,0xbf88ae78,1.0,75
515,0xb7fbc5f9,0xbf88ae14,4.0,97
516,0xb7fbca78,0xbf88ae4c,4.0,61
517,0xb7fbc68b,0xbf88ae40,8.0,87
