,LRU Miss Address
647,0x61f504
648,0x61f341
649,0x61f1c4
650,0x8048134
651,0x61f1dc
652,0x61f444
653,0x61f448
654,0x61f218
655,0x61ef18
656,0x61f1f4
657,0xbfe74148
658,0x61ef28
659,0xbfe740f8
660,0xbfe740f4
661,0x608548
662,0x8048855
663,0x608549
664,0x61f1cc
665,0x61eca0
666,0x8048858
667,0x804885c
668,0xbfe7413c
669,0xbfe74154
670,0xbfe7414c
671,0x61f58c
672,0xbfe74138
673,0x61f684
674,0xbfe74118
675,0x61f660
676,0x61f000
677,0x61f678
678,0x61eeec
679,0x61f6d4
680,0xbfe74150
681,0xbfe740e8
682,0xbfe740e4
683,0xbfe740e0
684,0xbfe74054
685,0xbfe740dc
686,0x61f46c
687,0xbfe74050
688,0xbfe74044
689,0xbfe74048
690,0xbfe73fc0
691,0xbfe7404c
692,0xbfe73fc8
693,0xbfe73fe0
694,0xbfe73fdc
695,0xbfe73fc4
696,0xbfe73fbc
697,0xbfe73fcc
698,0xbfe73fb0
699,0xbfe73f60
700,0xbfe73fb4
701,0x61eff8
702,0xbfe73fb8
703,0x61f4d8
704,0x61f4dc
705,0xbfe7403c
706,0xbfe73ff0
707,0xbfe74010
708,0x61f474
709,0xbfe73fd4
710,0xbfe73fd0
711,0xbfe73fd8
712,0xbfe740c4
713,0xbfe74090
714,0xb7436000
715,0xb743600c
716,0x61f470
717,0xb74399e8
718,0xbfe740c8
719,0xbfe740b4
720,0xbfe74080
721,0x61ecac
722,0xbfe740a8
723,0xbfe740cc
724,0xbfe7405c
725,0xbfe74058
726,0xbfe74c5b
727,0x61ede8
728,0xbfe74c5c
729,0x61ede9
730,0x61eded
731,0x61edee
732,0x61edf2
733,0x61edf3
734,0x61edf7
735,0x61edf8
736,0xbfe74c5d
737,0x61edf9
738,0xbfe74c5e
739,0x61edfa
740,0xbfe74c5f
741,0x61edfb
742,0xbfe740ac
743,0xbfe740b0
744,0x61ecdc
745,0x61ece4
746,0xbfe740a0
747,0xbfe740a4
748,0xbfe740d8
749,0xb74399fc
750,0xbfe740d4
751,0xbfe74080
752,0xb743d4cc
753,0xbfe740cc
754,0xbfe740dc
755,0xbfe74050
756,0xbfe7404c
757,0xbfe74048
758,0xbfe74044
759,0xbfe74040
760,0x8048854
761,0xb74477ce
762,0x8048855
763,0xb74477cf
764,0x8048856
765,0xb74477d0
766,0x8048857
767,0xb74477d1
768,0x61f470
769,0xb743f23c
770,0xb744adc7
771,0xb744adc8
772,0xb744adc9
773,0xb744adca
774,0xb74400f4
775,0xb744c99d
776,0xb744c99e
777,0xb744c99f
778,0xb744c9a0
779,0xb743f98c
780,0xb744bb50
781,0xb744bb51
782,0xb744bb52
783,0xb744bb53
784,0xb743f5e4
785,0xb744b37a
786,0xb744b37b
787,0xb744b37c
788,0xb744b37d
789,0x8048858
790,0xb744b37e
791,0xb743f7ac
792,0xb744b6cc
793,0xb744b6cd
794,0xb744b6ce
795,0xb744b6cf
796,0xb743f6bc
797,0xb744b4fd
798,0xb744b4fe
799,0xb744b4ff
800,0xb744b500
801,0xb744b501
802,0xb743f734
803,0xb744b597
804,0xb744b598
805,0xb744b599
806,0xb744b59a
807,0xb743f6ec
808,0xb744b53f
809,0xb744b540
810,0xb744b541
811,0xb744b542
812,0xb744b543
813,0x8048859
814,0xb744b544
815,0x804885a
816,0xb744b545
817,0x804885b
818,0xb744b546
819,0x804885c
820,0xb744b547
821,0x804885d
822,0xb744b548
823,0xbfe7407c
824,0x61f470
825,0xb743f6d4
826,0xb744b522
827,0xb744b523
828,0xb744b524
829,0xb744b525
830,0xb744b526
831,0xb744b527
832,0xb744b528
833,0xb744b529
834,0xb744b52a
835,0xb744b52b
836,0xb743f6bc
837,0xb744b4fd
838,0xb744b4fe
839,0xb744b4ff
840,0xb744b500
841,0xb744b501
842,0xbfe7407c
843,0xbfe7409c
844,0xb743f6d0
845,0xb743f6d8
846,0xbfe7408c
847,0xbfe740c8
848,0x61eca8
849,0xb743f6dc
850,0xbfe740b0
851,0xbfe740ac
852,0xb743f6e4
853,0xb743f6e0
854,0xbfe74088
855,0xbfe74084
856,0xbfe740a0
857,0xbfe740a4
858,0xbfe740b4
859,0x61ecd8
860,0x61eca0
861,0xbfe740e0
862,0xbfe740e4
863,0xbfe740e8
864,0xbfe740ec
865,0xbfe740f0
866,0xbfe74134
867,0xbfe74154
868,0x61f000
869,0x61f6f1
870,0xbfe740f4
871,0xbfe740bc
872,0xbfe740b8
873,0xbfe74068
874,0xbfe740b7
875,0xbfe74070
876,0xbfe7406c
877,0xbfe74064
878,0xbfe74074
879,0x61f4dc
880,0xbfe7409c
881,0xbfe74160
882,0xbfe74164
883,0xbfe74178
884,0xbfe74176
885,0xbfe74174
886,0xbfe7418e
887,0xbfe74190
888,0xbfe74180
889,0xbfe740a8
890,0xbfe7407c
891,0xbfe74198
892,0xbfe741b8
893,0xbfe741d8
894,0xbfe741f8
895,0xbfe74218
896,0xbfe74238
897,0xbfe74248
898,0xbfe74254
899,0xbfe7423c
900,0xbfe740a4
901,0xbfe742d8
902,0xbfe742e8
903,0xbfe742ec
904,0xbfe742f0
905,0xbfe742f4
906,0x61eca8
907,0xbfe740b0
908,0xbfe740e0
909,0xbfe740e4
910,0xbfe740e8
911,0xbfe740ec
912,0xbfe740f0
913,0xbfe7414c
914,0xbfe74134
915,0xbfe740f4
916,0xb744b52c
917,0xb744b530
918,0xb744b534
919,0xb744b538
920,0xb744b53c
921,0x61efe4
922,0xbfe740dc
923,0x61efe0
924,0xbfe740d8
925,0xbfe740cc
926,0xbfe740d0
927,0xbfe740d4
928,0x61f4b4
929,0x61f4b0
930,0x61f4b8
931,0xbfe740fc
932,0xbfe740f8
933,0x61fb70
934,0xb744b52d
935,0x61fb71
936,0xb744b52f
937,0x61fb73
938,0xbfe7415c
939,0x61eca0
940,0xbfe7438c
941,0xbfe74154
942,0x61ef08
943,0xbfe74390
944,0xbfe74158
945,0xbfe7410c
946,0xbfe74108
947,0xbfe74104
948,0xbfe74384
949,0xbfe74100
