,LFU Miss PC,LFU Miss Address
78036,0xb6629d8a,0xb652cd26
78037,0xb6629da3,0xb652cd24
78038,0xb6629daf,0xb652cd1c
78039,0xb6629e04,0xb6527984
78040,0xb6629d8a,0xb652cd36
78041,0xb6629da3,0xb652cd34
78042,0xb6629daf,0xb652cd2c
78043,0xb6629e04,0xb6527988
78044,0xb6629d8a,0xb652cd46
78045,0xb6629da3,0xb652cd44
78046,0xb6629daf,0xb652cd3c
78047,0xb6629dc8,0xb652cd40
78048,0xb6629e04,0xb652798c
78049,0xb6629e14,0xbf888068
78050,0xb6629e19,0xbf888060
78051,0xb6629d60,0xb6526144
78052,0xb6629d75,0xbf888070
78053,0xb6629d8a,0xb652cd56
78054,0xb6629da3,0xb652cd54
78055,0xb6629daf,0xb652cd4c
78056,0xb6629dc8,0xb652cd50
78057,0xb6629e04,0xb6527990
78058,0xb6629d8a,0xb652cd66
78059,0xb6629da3,0xb652cd64
78060,0xb6629daf,0xb652cd5c
78061,0xb6629dc8,0xb652cd60
78062,0xb6629e04,0xb6527994
78063,0xb6629d8a,0xb652cd76
78064,0xb6629da3,0xb652cd74
78065,0xb6629daf,0xb652cd6c
78066,0xb6629dc8,0xb652cd70
78067,0xb6629e04,0xb6527998
78068,0xb6629e14,0xbf888068
78069,0xb6629e19,0xbf888060
78070,0xb6629d60,0xb6526148
78071,0xb6629d75,0xbf888070
78072,0xb6629d8a,0xb652cd86
78073,0xb6629da3,0xb652cd84
78074,0xb6629daf,0xb652cd7c
78075,0xb6629dc8,0xb652cd80
78076,0xb6629e04,0xb652799c
78077,0xb6629d8a,0xb652cd96
78078,0xb6629da3,0xb652cd94
78079,0xb6629daf,0xb652cd8c
78080,0xb6629e04,0xb65279a0
78081,0xb6629d8a,0xb652cda6
78082,0xb6629da3,0xb652cda4
78083,0xb6629daf,0xb652cd9c
78084,0xb6629e04,0xb65279a4
78085,0xb6629d8a,0xb652cdb6
78086,0xb6629da3,0xb652cdb4
78087,0xb6629daf,0xb652cdac
78088,0xb6629e04,0xb65279a8
78089,0xb6629d8a,0xb652cdc6
78090,0xb6629da3,0xb652cdc4
78091,0xb6629daf,0xb652cdbc
78092,0xb6629e04,0xb65279ac
78093,0xb6629e14,0xbf888068
78094,0xb6629e19,0xbf888060
78095,0xb6629d60,0xb652614c
78096,0xb6629d75,0xbf888070
78097,0xb6629d8a,0xb652cdd6
78098,0xb6629da3,0xb652cdd4
78099,0xb6629daf,0xb652cdcc
78100,0xb6629dc8,0xb652cdd0
78101,0xb6629e04,0xb65279b0
78102,0xb6629e14,0xbf888068
78103,0xb6629e19,0xbf888060
78104,0xb6629d60,0xb6526150
78105,0xb6629d75,0xbf888070
78106,0xb6629d8a,0xb652cde6
78107,0xb6629da3,0xb652cde4
78108,0xb6629daf,0xb652cddc
78109,0xb6629e04,0xb65279b4
78110,0xb6629d8a,0xb652cdf6
78111,0xb6629da3,0xb652cdf4
78112,0xb6629daf,0xb652cdec
78113,0xb6629dc8,0xb652cdf0
78114,0xb6629e04,0xb65279b8
78115,0xb6629e14,0xbf888068
78116,0xb6629e19,0xbf888060
78117,0xb6629d60,0xb6526154
78118,0xb6629d75,0xbf888070
78119,0xb6629d8a,0xb652ce06
78120,0xb6629da3,0xb652ce04
78121,0xb6629daf,0xb652cdfc
78122,0xb6629dc8,0xb652ce00
78123,0xb6629e04,0xb65279bc
78124,0xb6629d8a,0xb652ce16
78125,0xb6629da3,0xb652ce14
78126,0xb6629daf,0xb652ce0c
78127,0xb6629e04,0xb65279c0
78128,0xb6629e14,0xbf888068
78129,0xb6629e19,0xbf888060
78130,0xb6629d60,0xb6526158
78131,0xb6629d75,0xbf888070
78132,0xb6629d8a,0xb652ce26
78133,0xb6629da3,0xb652ce24
78134,0xb6629daf,0xb652ce1c
78135,0xb6629e04,0xb65279c4
78136,0xb6629d8a,0xb652ce36
78137,0xb6629da3,0xb652ce34
78138,0xb6629daf,0xb652ce2c
78139,0xb6629e04,0xb65279c8
78140,0xb6629d8a,0xb652ce46
78141,0xb6629da3,0xb652ce44
78142,0xb6629daf,0xb652ce3c
78143,0xb6629dc8,0xb652ce40
78144,0xb6629e04,0xb65279cc
78145,0xb6629e14,0xbf888068
78146,0xb6629e19,0xbf888060
78147,0xb6629d60,0xb652615c
78148,0xb6629d75,0xbf888070
78149,0xb6629d8a,0xb652ce56
78150,0xb6629da3,0xb652ce54
78151,0xb6629daf,0xb652ce4c
78152,0xb6629e04,0xb65279d0
78153,0xb6629d8a,0xb652ce66
78154,0xb6629da3,0xb652ce64
78155,0xb6629daf,0xb652ce5c
78156,0xb6629dc8,0xb652ce60
78157,0xb6629e04,0xb65279d4
78158,0xb6629d8a,0xb652ce76
78159,0xb6629da3,0xb652ce74
78160,0xb6629daf,0xb652ce6c
78161,0xb6629e04,0xb65279d8
78162,0xb6629e14,0xbf888068
78163,0xb6629e19,0xbf888060
78164,0xb6629d60,0xb6526160
78165,0xb6629d75,0xbf888070
78166,0xb6629d8a,0xb652ce86
78167,0xb6629da3,0xb652ce84
78168,0xb6629daf,0xb652ce7c
78169,0xb6629e04,0xb65279dc
78170,0xb6629d8a,0xb652ce96
78171,0xb6629da3,0xb652ce94
78172,0xb6629daf,0xb652ce8c
78173,0xb6629dc8,0xb652ce90
78174,0xb6629e04,0xb65279e0
78175,0xb6629d8a,0xb652cea6
78176,0xb6629da3,0xb652cea4
78177,0xb6629daf,0xb652ce9c
78178,0xb6629e04,0xb65279e4
78179,0xb6629d8a,0xb652ceb6
78180,0xb6629da3,0xb652ceb4
78181,0xb6629daf,0xb652ceac
78182,0xb6629e04,0xb65279e8
78183,0xb6629d8a,0xb652cec6
78184,0xb6629da3,0xb652cec4
78185,0xb6629daf,0xb652cebc
78186,0xb6629dc8,0xb652cec0
78187,0xb6629e04,0xb65279ec
78188,0xb6629e14,0xbf888068
78189,0xb6629e19,0xbf888060
78190,0xb6629d60,0xb6526164
78191,0xb6629d75,0xbf888070
78192,0xb6629d8a,0xb652ced6
78193,0xb6629da3,0xb652ced4
78194,0xb6629daf,0xb652cecc
78195,0xb6629dc8,0xb652ced0
78196,0xb6629e04,0xb65279f0
78197,0xb6629e14,0xbf888068
78198,0xb6629e19,0xbf888060
78199,0xb6629d60,0xb6526168
78200,0xb6629d75,0xbf888070
78201,0xb6629d8a,0xb652cee6
78202,0xb6629da3,0xb652cee4
78203,0xb6629daf,0xb652cedc
78204,0xb6629e04,0xb65279f4
78205,0xb6629d8a,0xb652cef6
78206,0xb6629da3,0xb652cef4
78207,0xb6629daf,0xb652ceec
78208,0xb6629e04,0xb65279f8
78209,0xb6629e14,0xbf888068
78210,0xb6629e19,0xbf888060
78211,0xb6629d60,0xb652616c
78212,0xb6629d75,0xbf888070
78213,0xb6629d8a,0xb652cf06
78214,0xb6629da3,0xb652cf04
78215,0xb6629daf,0xb652cefc
78216,0xb6629e04,0xb65279fc
78217,0xb6629d8a,0xb652cf16
78218,0xb6629da3,0xb652cf14
78219,0xb6629daf,0xb652cf0c
78220,0xb6629dc8,0xb652cf10
78221,0xb6629e04,0xb6527a00
78222,0xb6629d8a,0xb652cf26
78223,0xb6629da3,0xb652cf24
78224,0xb6629daf,0xb652cf1c
78225,0xb6629e04,0xb6527a04
78226,0xb6629d8a,0xb652cf36
