,LRU Miss Address
822,0xbfb221f4
823,0xb60e24e0
824,0xbfb22288
825,0xbfb2228c
826,0xbfb22290
827,0xbfb22294
828,0xb60e24cc
829,0xb60e24c4
830,0xb60e24c8
831,0xb60e24c1
832,0xb60e2528
833,0xb60e24d4
834,0xb60e24d0
835,0xb60e24d8
836,0xbfb22298
837,0xbfb2229c
838,0xbfb222a0
839,0xbfb222a8
840,0xbfb222ac
841,0xbfb222b0
842,0xbfb222b4
843,0xbfb222b8
844,0xbfb222f0
845,0xbfb222d8
846,0xbfb222d0
847,0xbfb222c4
848,0xbfb222c0
849,0xbfb222bc
850,0xb60e2506
851,0xb60e2554
852,0x81e9dcc
853,0xb60e1a0c
854,0xbfb22288
855,0xbfb22284
856,0xbfb2227c
857,0xbfb22280
858,0xbfb22268
859,0xb61b7000
860,0xbfb2226c
861,0xbfb22274
862,0xbfb22270
863,0xbfb22264
864,0xbfb22260
865,0xbfb2225c
866,0xbfb22258
867,0xbfb2224c
868,0xbfb22250
869,0xbfb22254
870,0xbfb22230
871,0xb60e24c1
872,0xbfb22248
873,0xbfb22244
874,0xb60e24c8
875,0xb60e2506
876,0xb60e2554
877,0xbfb2223c
878,0xbfb22238
879,0xbfb22234
880,0xb60e1a3c
881,0xbfb2222c
882,0xbfb22228
883,0xbfb22224
884,0xb60e24fc
885,0xbfb22220
886,0xbfb2221c
887,0xb60e24f8
888,0xbfb22218
889,0xbfb22214
890,0xbfb22210
891,0xbfb2220c
892,0xb60e2510
893,0xb60e250c
894,0xb60e2504
895,0xb60e2528
896,0xb60e24dc
897,0xb60e24cc
898,0xb60e24c4
899,0xb60e24d4
900,0xb60e24c0
901,0xb60e24d8
902,0xbfb2224c
903,0xbfb22250
904,0xbfb22254
905,0xbfb22258
906,0xbfb2225c
907,0xbfb22260
908,0xbfb22264
909,0xbfb22268
910,0xbfb2227c
911,0xbfb22280
912,0xbfb22284
913,0xbfb22288
914,0xbfb2228c
915,0xbfb222a0
916,0xbfb222bc
917,0xb60e2506
918,0xb60e2554
919,0x81e9dcd
920,0xbfb22294
921,0xbfb22290
922,0xb60e1a0c
923,0xb60e24e0
924,0xb61b7000
925,0x81e9dce
926,0xb61b7001
927,0x81e9dcf
928,0xb61b7002
929,0x81e9dd0
930,0xb61b7003
931,0x81e9dd1
932,0xb61b7004
933,0x81e9dd2
934,0xb61b7005
935,0x81e9dd3
936,0xb61b7006
937,0x81e9dd4
938,0xb61b7007
939,0x81e9dd5
940,0xb61b7008
941,0x81e9dd6
942,0xb61b7009
943,0x81e9dd7
944,0xb61b700a
945,0x81e9dd8
946,0xb61b700b
947,0x81e9dd9
948,0xb61b700c
949,0x81e9dda
950,0xb61b700d
951,0x81e9ddb
952,0xb61b700e
953,0x81e9ddc
954,0xb61b700f
955,0x81e9ddd
956,0xb61b7010
957,0x81e9dde
958,0xb61b7011
959,0xbfb222c4
960,0xbfb222a8
961,0xbfb222ac
962,0xbfb222b0
963,0xbfb222b4
964,0xbfb222b8
965,0xbfb222dc
966,0xbfb222e0
967,0xbfb222e4
968,0xbfb222e8
969,0xbfb222ec
970,0xbfb22364
971,0xbfb2236c
972,0x81e9ddf
973,0xbfb22368
974,0xbfb2235c
975,0xbfb22360
976,0xbfb22374
977,0xbfb2237c
978,0xbfb22308
979,0xbfb22320
980,0xbfb22460
981,0x81e9de0
982,0xbfb223cb
983,0xb60c20ec
984,0xb60c1f74
985,0xbfb2243c
986,0xbfb22390
